lambda,dlambda,enthalpy
9.932064e-01,-1.315279e-05,-3.189418e+01
9.931932e-01,-1.315244e-05,-3.189414e+01
9.931801e-01,-1.315209e-05,-3.189411e+01
9.931669e-01,-1.315174e-05,-3.189407e+01
9.931538e-01,-1.315139e-05,-3.189404e+01
9.931406e-01,-1.315104e-05,-3.189401e+01
9.931275e-01,-1.315070e-05,-3.189398e+01
9.931143e-01,-1.315035e-05,-3.189395e+01
9.931012e-01,-1.315000e-05,-3.189392e+01
9.930880e-01,-1.314965e-05,-3.189390e+01
9.930749e-01,-1.314930e-05,-3.189387e+01
9.930617e-01,-1.314895e-05,-3.189385e+01
9.930486e-01,-1.314861e-05,-3.189383e+01
9.930354e-01,-1.314826e-05,-3.189381e+01
9.930223e-01,-1.314791e-05,-3.189380e+01
9.930091e-01,-1.314756e-05,-3.189378e+01
9.929960e-01,-1.314721e-05,-3.189377e+01
9.929829e-01,-1.314687e-05,-3.189376e+01
9.929697e-01,-1.314652e-05,-3.189375e+01
9.929566e-01,-1.314617e-05,-3.189375e+01
9.929434e-01,-1.314582e-05,-3.189374e+01
