lambda,dlambda,pe,espring
4.659825e-11,7.109543e-13,-3.189767e+01,3.858680e-02
4.731355e-11,7.196621e-13,-3.189768e+01,3.858864e-02
4.803760e-11,7.284494e-13,-3.189769e+01,3.858976e-02
4.877048e-11,7.373168e-13,-3.189769e+01,3.858948e-02
4.951226e-11,7.462648e-13,-3.189770e+01,3.858983e-02
5.026303e-11,7.552937e-13,-3.189770e+01,3.858953e-02
5.102287e-11,7.644041e-13,-3.189770e+01,3.858943e-02
5.179187e-11,7.735966e-13,-3.189770e+01,3.858970e-02
5.257009e-11,7.828715e-13,-3.189768e+01,3.859043e-02
5.335764e-11,7.922293e-13,-3.189767e+01,3.859439e-02
5.415458e-11,8.016706e-13,-3.189765e+01,3.859993e-02
5.496101e-11,8.111959e-13,-3.189763e+01,3.860327e-02
5.577700e-11,8.208056e-13,-3.189760e+01,3.860683e-02
5.660265e-11,8.305002e-13,-3.189758e+01,3.861149e-02
5.743803e-11,8.402803e-13,-3.189755e+01,3.861535e-02
5.828324e-11,8.501462e-13,-3.189752e+01,3.862106e-02
5.913835e-11,8.600987e-13,-3.189749e+01,3.862512e-02
6.000346e-11,8.701380e-13,-3.189745e+01,3.863001e-02
6.087866e-11,8.802647e-13,-3.189742e+01,3.863407e-02
6.176402e-11,8.904794e-13,-3.189738e+01,3.864106e-02
6.265964e-11,9.007825e-13,-3.189733e+01,3.864622e-02
6.356562e-11,9.111746e-13,-3.189728e+01,3.865335e-02
6.448202e-11,9.216561e-13,-3.189724e+01,3.866122e-02
6.540896e-11,9.322276e-13,-3.189719e+01,3.867047e-02
6.634651e-11,9.428895e-13,-3.189715e+01,3.867751e-02
6.729477e-11,9.536424e-13,-3.189710e+01,3.868180e-02
6.825382e-11,9.644868e-13,-3.189706e+01,3.869092e-02
6.922377e-11,9.754232e-13,-3.189703e+01,3.869701e-02
7.020470e-11,9.864521e-13,-3.189700e+01,3.869689e-02
7.119671e-11,9.975741e-13,-3.189698e+01,3.869817e-02
7.219988e-11,1.008790e-12,-3.189696e+01,3.869938e-02
7.321432e-11,1.020099e-12,-3.189695e+01,3.870037e-02
7.424011e-11,1.031503e-12,-3.189695e+01,3.870004e-02
7.527736e-11,1.043003e-12,-3.189695e+01,3.869837e-02
7.632615e-11,1.054598e-12,-3.189695e+01,3.869657e-02
7.738658e-11,1.066289e-12,-3.189696e+01,3.869141e-02
7.845876e-11,1.078077e-12,-3.189697e+01,3.868683e-02
7.954277e-11,1.089962e-12,-3.189699e+01,3.868380e-02
8.063871e-11,1.101944e-12,-3.189701e+01,3.868077e-02
8.174669e-11,1.114026e-12,-3.189704e+01,3.867323e-02
8.286680e-11,1.126205e-12,-3.189707e+01,3.866419e-02
8.399913e-11,1.138485e-12,-3.189710e+01,3.865460e-02
8.514380e-11,1.150864e-12,-3.189714e+01,3.864460e-02
8.630090e-11,1.163343e-12,-3.189718e+01,3.863798e-02
8.747052e-11,1.175924e-12,-3.189721e+01,3.863309e-02
8.865278e-11,1.188606e-12,-3.189724e+01,3.863137e-02
8.984777e-11,1.201390e-12,-3.189728e+01,3.862643e-02
9.105559e-11,1.214277e-12,-3.189733e+01,3.861919e-02
9.227636e-11,1.227267e-12,-3.189737e+01,3.861223e-02
9.351016e-11,1.240360e-12,-3.189742e+01,3.860346e-02
9.475711e-11,1.253558e-12,-3.189747e+01,3.859582e-02
9.601731e-11,1.266860e-12,-3.189752e+01,3.858766e-02
9.729087e-11,1.280268e-12,-3.189757e+01,3.858045e-02
9.857788e-11,1.293782e-12,-3.189763e+01,3.857061e-02
9.987847e-11,1.307402e-12,-3.189768e+01,3.856030e-02
1.011927e-10,1.321129e-12,-3.189773e+01,3.854847e-02
1.025208e-10,1.334964e-12,-3.189777e+01,3.853981e-02
1.038627e-10,1.348906e-12,-3.189781e+01,3.853087e-02
1.052186e-10,1.362958e-12,-3.189785e+01,3.852220e-02
1.065886e-10,1.377118e-12,-3.189789e+01,3.851301e-02
1.079729e-10,1.391389e-12,-3.189793e+01,3.850426e-02
1.093715e-10,1.405769e-12,-3.189796e+01,3.849854e-02
1.107845e-10,1.420261e-12,-3.189799e+01,3.849418e-02
1.122120e-10,1.434864e-12,-3.189802e+01,3.849348e-02
1.136542e-10,1.449579e-12,-3.189804e+01,3.849418e-02
1.151112e-10,1.464407e-12,-3.189805e+01,3.849484e-02
1.165831e-10,1.479347e-12,-3.189805e+01,3.850146e-02
1.180699e-10,1.494402e-12,-3.189805e+01,3.850932e-02
1.195719e-10,1.509571e-12,-3.189804e+01,3.851766e-02
1.210891e-10,1.524855e-12,-3.189803e+01,3.852686e-02
1.226217e-10,1.540254e-12,-3.189801e+01,3.853635e-02
1.241697e-10,1.555769e-12,-3.189799e+01,3.854670e-02
1.257332e-10,1.571401e-12,-3.189796e+01,3.855772e-02
1.273125e-10,1.587150e-12,-3.189793e+01,3.856910e-02
1.289076e-10,1.603016e-12,-3.189789e+01,3.858252e-02
1.305186e-10,1.619001e-12,-3.189786e+01,3.859747e-02
1.321456e-10,1.635105e-12,-3.189783e+01,3.860836e-02
1.337888e-10,1.651329e-12,-3.189780e+01,3.861579e-02
1.354483e-10,1.667673e-12,-3.189777e+01,3.862440e-02
1.371242e-10,1.684137e-12,-3.189773e+01,3.863198e-02
1.388166e-10,1.700722e-12,-3.189768e+01,3.864239e-02
1.405257e-10,1.717430e-12,-3.189763e+01,3.865384e-02
1.422515e-10,1.734260e-12,-3.189759e+01,3.866849e-02
1.439943e-10,1.751213e-12,-3.189754e+01,3.868083e-02
1.457540e-10,1.768289e-12,-3.189750e+01,3.869218e-02
1.475309e-10,1.785490e-12,-3.189746e+01,3.870236e-02
1.493250e-10,1.802816e-12,-3.189742e+01,3.871131e-02
1.511366e-10,1.820267e-12,-3.189738e+01,3.871873e-02
1.529656e-10,1.837844e-12,-3.189734e+01,3.872525e-02
1.548123e-10,1.855548e-12,-3.189730e+01,3.873370e-02
1.566767e-10,1.873379e-12,-3.189726e+01,3.874574e-02
1.585591e-10,1.891338e-12,-3.189721e+01,3.875572e-02
1.604595e-10,1.909425e-12,-3.189717e+01,3.876631e-02
1.623780e-10,1.927641e-12,-3.189713e+01,3.877749e-02
